Front,Back,Tags,Source
What is self-attention and why is it useful?,"Self-attention (intra-attention) relates different positions **within the same sequence** to compute a richer representation of each position.

**Key properties:**
- Each position can attend to all other positions in the sequence
- Captures long-range dependencies directly (no recurrence needed)
- Enables parallelization unlike RNNs

**Applications:** Machine reading, abstractive summarization, and as the core building block of Transformers.

In Transformers, self-attention replaces recurrence entirely, allowing the model to build context from the full sequence in a single operation.",self-attention transformers long-range-dependencies nlp,attention_attention_lil_log
What are Pointer Networks and how do they differ from standard attention?,"Pointer Networks use attention to **select (point to) input positions** rather than blend their representations into a context vector.

**Standard attention:** Produces a weighted combination of encoder states (continuous output)

**Pointer Network:** The attention distribution IS the output — a probability over input indices:

p(c_i | c_1,...,c_{i-1}, x) = softmax(score(s_t; h_i))

**Use cases:** Problems where outputs must be elements of the input sequence:
- Sorting
- Traveling Salesman Problem
- Convex hull

Key insight: The output vocabulary size equals the input length, making it suitable for combinatorial optimization problems.",pointer-networks attention combinatorial-optimization sequence-models,attention_attention_lil_log
What are Neural Turing Machines (NTMs) and how do they use attention?,"NTMs couple a neural network controller with an external memory matrix using attention-based addressing.

**Components:**
- **Controller:** Neural network that reads/writes to memory
- **Memory:** N×M matrix
- **Read/Write heads:** Use soft attention over memory locations

**Read:** r_t = Σ w_t(i) · M_t(i) — weighted sum of memory rows

**Write:** Erase then add: M̃_t(i) = M_{t-1}(i)[1 - w_t(i)·e_t], then M_t(i) = M̃_t(i) + w_t(i)·a_t

**Addressing mechanisms:**
1. **Content-based:** Attend by similarity to a key vector
2. **Interpolation:** Blend with previous attention weights
3. **Location-based:** Shift attention with learned convolution

This allows NTMs to learn algorithms requiring external memory (e.g., sorting, copying).",ntm attention memory-networks external-memory,attention_attention_lil_log
What is the scaled dot-product attention formula and why is scaling by √d_k important?,"Formula: Attention(Q,K,V) = softmax(QK^T / √d_k)V

Scaling by √d_k (typically √64 = 8) is important for gradient stability. Without scaling, dot products grow large in magnitude as dimensionality increases, pushing softmax into regions with extremely small gradients (vanishing gradients). Dividing by √d_k keeps the dot products in a reasonable range before softmax.",transformer attention self-attention math,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
"What are the Query (Q), Key (K), and Value (V) vectors in self-attention, and how are they created?","Q, K, V are three different projections of the input embeddings, created by multiplying the embedding by three separate learned weight matrices (W^Q, W^K, W^V).

- Query: What the current token is 'looking for'
- Key: What each token 'offers' to be matched against
- Value: The actual content that gets aggregated

Attention scores are computed as similarity between Q and K, then used to take a weighted sum of V vectors.",transformer attention self-attention qkv,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
What is Multi-Head Attention and what are its advantages over single-head attention?,"Multi-Head Attention runs h parallel attention heads, each with independent Q/K/V weight matrices. Outputs are concatenated and projected via W^O:

MultiHead(Q,K,V) = Concat(head_1,...,head_h)W^O
where head_i = Attention(QW_i^Q, KW_i^K, VW_i^V)

Advantages over single-head:
1. Allows the model to attend to multiple positions simultaneously
2. Each head can learn different representation subspaces (e.g., syntax vs. semantics)

Original paper uses h=8 heads.",transformer multi-head-attention architecture,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
"Why do Transformers need positional encoding, and how does sinusoidal encoding work?","Self-attention is permutation-invariant — it has no inherent notion of word order. Positional encodings are added to input embeddings to inject sequential information.

Sinusoidal formula:
- PE(pos, 2i) = sin(pos / 10000^(2i/d))
- PE(pos, 2i+1) = cos(pos / 10000^(2i/d))

Sine used for even dimensions, cosine for odd. Benefits:
- Produces unique encoding per position
- Allows model to learn relative distances between positions
- Can extrapolate to sequence lengths unseen during training",transformer positional-encoding architecture,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
How does the Transformer decoder differ from the encoder? What are its three sub-layers?,"The decoder has three sub-layers per layer (vs. two in encoder):

1. **Causal (Masked) Self-Attention**: Same as encoder self-attention, but future positions are masked (-∞ before softmax) to prevent the model from 'peeking' at future tokens during autoregressive generation.

2. **Encoder-Decoder Attention**: Queries come from the decoder, but Keys and Values come from the encoder output. This lets the decoder focus on relevant parts of the input sequence.

3. **Feed-Forward Network**: Same as in encoder, applied independently per position.

Each sub-layer also has residual connections and layer normalization: LayerNorm(x + SubLayer(x)).",transformer decoder architecture masked-attention,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
Why do Transformers outperform RNNs for sequence modeling tasks?,"Key advantages of Transformers over RNNs:

1. **Parallelization**: RNNs process tokens sequentially (each step depends on previous). Transformers compute all positions in parallel via matrix operations → much faster training.

2. **Long-range dependencies**: RNNs struggle with distant dependencies due to vanishing gradients over many steps. Self-attention directly connects any two positions in O(1) operations.

3. **No vanishing gradient over sequence length**: Information doesn't need to pass through many recurrent steps to connect distant tokens.

4. **TPU/GPU efficiency**: Matrix operations in self-attention are highly optimized for modern hardware.",transformer rnn comparison parallelization,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
"What are residual connections and layer normalization in the Transformer, and why are they used?","Each sub-layer (self-attention, feed-forward) in both encoder and decoder wraps its computation with:

**LayerNorm(x + SubLayer(x))**

- **Residual connection (x + SubLayer(x))**: Adds the input directly to the sub-layer output. Facilitates gradient flow during backpropagation (combats vanishing gradients) and allows layers to learn residual corrections rather than full transformations.

- **Layer Normalization**: Normalizes activations across the feature dimension for each sample. Stabilizes training, improves convergence speed, and reduces sensitivity to initialization.",transformer residual-connections layer-norm training,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
What are greedy decoding vs. beam search in Transformer output generation?,"Both are strategies for converting decoder probability distributions into output tokens:

**Greedy Decoding**:
- At each step, select the single highest-probability token
- Fast but suboptimal — a locally best choice may lead to a globally poor sequence

**Beam Search**:
- Maintain top-k (beam width) hypotheses at each step
- Explores multiple candidate sequences in parallel
- Selects the sequence with highest overall probability
- More computationally expensive but typically produces better outputs

Beam search is standard in machine translation; greedy is used when speed is prioritized.",transformer decoding beam-search inference,the_illustrated_transformer_jay_alammar_visualizing_machine_learning_one_concept_at_a_time
